Name,Sale Price,Discount,Product Link
AMD Ryzen 7 9800X3D 8-Core 5.2GHz AM5 Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/amd-ryzen-7-9800x3d-8-core-5-2ghz-am5-processor/18658263
AMD Ryzen 5 7600X 6-Core 4.7GHz AM5 Processor,$258.98,SAVE $51,https://www.bestbuy.ca/en-ca/product/amd-ryzen-5-7600x-6-core-4-7ghz-am5-processor/16489534
AMD Ryzen 9 9950X 16-Core 5.7GHz AM5 Processor,$799.99,SAVE $100,https://www.bestbuy.ca/en-ca/product/amd-ryzen-9-9950x-16-core-5-7ghz-am5-processor/18166456
AMD Ryzen 5 5600X Hexa-Core 3.7GHz AM4 Desktop Processor,$164.98,SAVE $24,https://www.bestbuy.ca/en-ca/product/amd-ryzen-5-5600x-hexa-core-3-7ghz-am4-desktop-processor/15331713
AMD Ryzen 7 5700X3D 8-Core 3GHz AM4 Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/amd-ryzen-7-5700x3d-8-core-3ghz-am4-processor/17718592
AMD Ryzen 7 9700X 8-Core 5.5GHz AM5 Processor,$449.99,SAVE $50,https://www.bestbuy.ca/en-ca/product/amd-ryzen-7-9700x-8-core-5-5ghz-am5-processor/18166461
AMD Ryzen 7 7700X 8-Core 4.5GHz AM5 Processor,$398.98,SAVE $40,https://www.bestbuy.ca/en-ca/product/amd-ryzen-7-7700x-8-core-4-5ghz-am5-processor/16489533
AMD Ryzen 7 5700 8-Core 3.7GHz AM4 Processor,$168.98,SAVE $71,https://www.bestbuy.ca/en-ca/product/amd-ryzen-7-5700-8-core-3-7ghz-am4-processor/17718590
AMD Ryzen 9 7950X3D 16-Core 4.2GHz AM5 Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/amd-ryzen-9-7950x3d-16-core-4-2ghz-am5-processor/16694882
AMD Ryzen 9 9900X 12-Core 5.6GHz AM5 Processor,$569.99,SAVE $60,https://www.bestbuy.ca/en-ca/product/amd-ryzen-9-9900x-12-core-5-6ghz-am5-processor/18166457
AMD Ryzen 5 7600 6-Core 4GHz Desktop Processor,$238.98,SAVE $31,https://www.bestbuy.ca/en-ca/product/amd-ryzen-5-7600-6-core-4ghz-desktop-processor/16652025
AMD Ryzen 7 5700X Octa-Core 3.4GHz AM4 Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/amd-ryzen-7-5700x-octa-core-3-4ghz-am4-processor/16022399
AMD Ryzen 7 8700G 8-Core 4.2GHz AM5 Processor,$297.98,SAVE $102,https://www.bestbuy.ca/en-ca/product/amd-ryzen-7-8700g-8-core-4-2ghz-am5-processor/17718591
AMD Ryzen 9 7950X 16-Core 4.5GHz AM5 Processor,$668.98,SAVE $81,https://www.bestbuy.ca/en-ca/product/amd-ryzen-9-7950x-16-core-4-5ghz-am5-processor/16489531
AMD Ryzen 9 7900X 12-Core 4.7GHz AM5 Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/amd-ryzen-9-7900x-12-core-4-7ghz-am5-processor/16489532
AMD Ryzen 5 9600X 6-Core 5.4GHz AM5 Processor,$339.99,SAVE $40,https://www.bestbuy.ca/en-ca/product/amd-ryzen-5-9600x-6-core-5-4ghz-am5-processor/18166459
AMD Ryzen 5 5600 Hexa-Core 3.5GHz AM4 Processor,$148.98,SAVE $11,https://www.bestbuy.ca/en-ca/product/amd-ryzen-5-5600-hexa-core-3-5ghz-am4-processor/16022400
AMD Ryzen 5 5500 Hexa-Core 3.6GHz AM4 Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/amd-ryzen-5-5500-hexa-core-3-6ghz-am4-processor/16022401
AMD Ryzen 5 5500GT 6-Core 3.6GHz AM4 Processor,$149.99,SAVE $7,https://www.bestbuy.ca/en-ca/product/amd-ryzen-5-5500gt-6-core-3-6ghz-am4-processor/17718589
AMD Ryzen 9 5950X 16-Core 3.4GHz AM4 Desktop Processor,$458.98,SAVE $61,https://www.bestbuy.ca/en-ca/product/amd-ryzen-9-5950x-16-core-3-4ghz-am4-desktop-processor/15331716
AMD Ryzen 9 7900X3D 12-Core 4.4GHz AM5 Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/amd-ryzen-9-7900x3d-12-core-4-4ghz-am5-processor/16694884
AMD Ryzen 7 7700 8-Core 3.8GHz Desktop Processor,$378.98,SAVE $41,https://www.bestbuy.ca/en-ca/product/amd-ryzen-7-7700-8-core-3-8ghz-desktop-processor/16652026
AMD Ryzen 7 5800XT 8-Core 4.8GHz AM4 Processor,$318.98,SAVE $31,https://www.bestbuy.ca/en-ca/product/amd-ryzen-7-5800xt-8-core-4-8ghz-am4-processor/18166458
AMD Ryzen 5 5600GT 6-Core 3.6GHz AM4 Processor,$169.99,SAVE $10,https://www.bestbuy.ca/en-ca/product/amd-ryzen-5-5600gt-6-core-3-6ghz-am4-processor/17718588
