Name,Sale Price,Discount,Product Link
Intel Core Ultra 9-285K 24-Core 4.6GHz Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/intel-core-ultra-9-285k-24-core-4-6ghz-processor/18479019
Intel Core i9-14900K Processor,$639.98,SAVE $160,https://www.bestbuy.ca/en-ca/product/intel-core-i9-14900k-processor/17263631
Intel Core i9-13900K Processor,$455.98,SAVE $182,https://www.bestbuy.ca/en-ca/product/intel-core-i9-13900k-processor/16551381
Intel Core i5-14600K Processor,$308.98,SAVE $131,https://www.bestbuy.ca/en-ca/product/intel-core-i5-14600k-processor/17263629
Intel Core Ultra 7-265K 20-Core 4.6GHz Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/intel-core-ultra-7-265k-20-core-4-6ghz-processor/18479018
Intel Core i5-13600K Processor,$278.98,SAVE $91,https://www.bestbuy.ca/en-ca/product/intel-core-i5-13600k-processor/16551382
Intel Core i7-14700K Processor,$508.98,SAVE $71,https://www.bestbuy.ca/en-ca/product/intel-core-i7-14700k-processor/17263628
Intel Core i7-13700K Processor,$449.99,SAVE $50,https://www.bestbuy.ca/en-ca/product/intel-core-i7-13700k-processor/16551380
Intel Core i3-12100 Quad-Core 3.3GHz Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/intel-core-i3-12100-quad-core-3-3ghz-processor/16161166
Intel Core i9-14900KS Tetracosa-Core 3.20GHz Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/intel-core-i9-14900ks-tetracosa-core-3-20ghz-processor/17811156
Refurbished (Good) Intel® Core™ i7-11700F Desktop Processor 8 Cores up to 4.90 GHz LGA1200 (Intel® 500 Series & Select 400 Series Chipset),$199.99,SAVE $158,https://www.bestbuy.ca/en-ca/product/refurbished-good-intel-core-i7-11700f-desktop-processor-8-cores-up-to-4-90-ghz-lga1200-intel-500-series-select-400-series-chipset/17361781
Intel Core Ultra 5-245K 14-Core 4.6GHz Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/intel-core-ultra-5-245k-14-core-4-6ghz-processor/18479016
Intel Core i9-12900K Octa-Core 3.2GHz Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/intel-core-i9-12900k-octa-core-3-2ghz-processor/15778670
Intel Core i9-14900KF Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/intel-core-i9-14900kf-processor/17263627
Refurbished (Good) Intel Core i9-12900K Octa-Core 3.2GHz Processor,$329.99,SAVE $170,https://www.bestbuy.ca/en-ca/product/refurbished-good-intel-core-i9-12900k-octa-core-3-2ghz-processor/17921907
Intel Core i7-14700KF Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/intel-core-i7-14700kf-processor/17263632
Intel Core Ultra 7-265KF 20-Core 4.6GHz Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/intel-core-ultra-7-265kf-20-core-4-6ghz-processor/18479015
Intel Core i5-12600K 10-Core 3.7GHz Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/intel-core-i5-12600k-10-core-3-7ghz-processor/15778668
Intel Core i5-13400 10-Core 2.5GHz LGA1700 Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/intel-core-i5-13400-10-core-2-5ghz-lga1700-processor/16661898
Intel Core i7-13700F 16-Core 2.1GHz LGA1700 Processor,N/A,N/A,https://www.bestbuy.ca/en-ca/product/intel-core-i7-13700f-16-core-2-1ghz-lga1700-processor/16661896
Refurbished (Good) Intel Core i9-13900K Processor,$489.99,SAVE $310,https://www.bestbuy.ca/en-ca/product/refurbished-good-intel-core-i9-13900k-processor/17223538
Refurbished (Good) Intel® Core™ i7-13700K Desktop Processor 16 Cores (8P+8N) up to 5.40 GHz Unlocked LGA1700 (Intel® 600 Series & Select 700 Series Chipset),$329.99,SAVE $209,https://www.bestbuy.ca/en-ca/product/refurbished-good-intel-core-i7-13700k-desktop-processor-16-cores-8p8n-up-to-5-40-ghz-unlocked-lga1700-intel-600-series-select-700-series-chipset/17499904
Intel Core i7-10700 10th Gen 8-Core 16-Thread 2.9 GHz (4.80 GHz Turbo) LGA1200 Desktop Processor,$369.00,SAVE $20,https://www.bestbuy.ca/en-ca/product/intel-core-i7-10700-10th-gen-8-core-16-thread-2-9-ghz-4-80-ghz-turbo-lga1200-desktop-processor/14730573
Intel Core i9-14900 - Core i9 14th Gen Raptor Lake 24-Core (8P+16E) LGA 1700 65W Intel UHD Graphics 770 Processor - BX8071514900,$932.47,SAVE $93,https://www.bestbuy.ca/en-ca/product/intel-core-i9-14900-core-i9-14th-gen-raptor-lake-24-core-8p16e-lga-1700-65w-intel-uhd-graphics-770-processor-bx8071514900/17730252
