Name,Sale Price,Discount,Product Link
ASUS ROG Strix Radeon RX 7600 OC 8GB GDDR6 Video Card,N/A,N/A,N/A
ASUS DUAL AMD Radeon RX 7800 XT OC 16GB GDDR6 Video Card,N/A,N/A,https://www.bestbuy.ca/en-ca/product/asus-dual-amd-radeon-rx-7800-xt-oc-16gb-gddr6-video-card/17920571
ASUS TUF Gaming Radeon RX 7600 XT OC 16GB GDDR6 Video Card,N/A,N/A,https://www.bestbuy.ca/en-ca/product/asus-tuf-gaming-radeon-rx-7600-xt-oc-16gb-gddr6-video-card/17716543
AMD ASUS Dual Radeon RX 7600 V2 OC 8GB GDDR6 Video Card,N/A,N/A,https://www.bestbuy.ca/en-ca/product/amd-asus-dual-radeon-rx-7600-v2-oc-8gb-gddr6-video-card/17755778
Sapphire PULSE AMD Radeon RX 7900 XT Graphic Card 20 GB 11323-02-20G,"$1,017.99",SAVE $182,https://www.bestbuy.ca/en-ca/product/sapphire-pulse-amd-radeon-rx-7900-xt-graphic-card-20-gb-11323-02-20g/16688974
ASUS TUF Gaming Radeon RX 7900 XTX 24GB GDDR6 Video Card,N/A,N/A,https://www.bestbuy.ca/en-ca/product/asus-tuf-gaming-radeon-rx-7900-xtx-24gb-gddr6-video-card/17113500
ASUS DUAL AMD Radeon RX 6600 8GB GDDR6 Video Card,N/A,N/A,https://www.bestbuy.ca/en-ca/product/asus-dual-amd-radeon-rx-6600-8gb-gddr6-video-card/17920570
ASUS ROG Strix Radeon RX 7600 OC 8GB GDDR6 Video Card,N/A,N/A,https://www.bestbuy.ca/en-ca/product/asus-rog-strix-radeon-rx-7600-oc-8gb-gddr6-video-card/17115250
Refurbished (Good) ASUS TUF 3 RX 5600 XT EVO GAMING TOP (LAYVYZ04162287J),$199.99,SAVE $100,https://www.bestbuy.ca/en-ca/product/refurbished-good-asus-tuf-3-rx-5600-xt-evo-gaming-top-layvyz04162287j/18235890
Sapphire Pulse Radeon RX 6600 Graphic Card 8 GB 11310-01-20G,$344.63,SAVE $34,https://www.bestbuy.ca/en-ca/product/sapphire-pulse-radeon-rx-6600-graphic-card-8-gb-11310-01-20g/15900705
NITRO+ AMD Radeon™ RX 7900 XTX Vapor-X 24GB,N/A,N/A,https://www.bestbuy.ca/en-ca/product/nitro-amd-radeon-rx-7900-xtx-vapor-x-24gb/16968621
"Refurbished (Good) - AMD Radeon R5 240 1GB High-Performance Graphics card, PCIe 3.0, Low profile Video card, DVI, Display port, Including DP to HDMI Adapter",$29.79,SAVE $15,https://www.bestbuy.ca/en-ca/product/refurbished-good-amd-radeon-r5-240-1gb-high-performance-graphics-card-pcie-3-0-low-profile-video-card-dvi-display-port-including-dp-to-hdmi-adapter/17147926
XFX SPEEDSTER SWFT 210 Radeon RX 6600 CORE 8GB Graphics Card,$359.98,SAVE $9,https://www.bestbuy.ca/en-ca/product/xfx-speedster-swft-210-radeon-rx-6600-core-8gb-graphics-card/16007210
VISIONTEK RADEON 5450 2GB DDR3 900356,$89.99,SAVE $9,https://www.bestbuy.ca/en-ca/product/visiontek-radeon-5450-2gb-ddr3-900356/12295152
Refurbished (Good) ASUS Dual Radeon RX 6600 V2 8GB GDDR6 Gaming Graphics Card (‎DUAL-RX6600-8G-V2),$329.99,SAVE $29,https://www.bestbuy.ca/en-ca/product/refurbished-good-asus-dual-radeon-rx-6600-v2-8gb-gddr6-gaming-graphics-card-dual-rx6600-8g-v2/18246154
VisionTek 900356 Radeon HD 5450 Graphic Card - 2 GB DDR3 SDRAM 900356,N/A,N/A,https://www.bestbuy.ca/en-ca/product/visiontek-visiontek-900356-radeon-hd-5450-graphic-card-2-gb-ddr3-sdram-pci-express-2-1-x16-900356/10502504
VisionTek Radeon HD 6350 Graphic Card - 1 GB DDR3 SDRAM - Low-profile,$96.99,SAVE $17,https://www.bestbuy.ca/en-ca/product/visiontek-visiontek-radeon-hd-6350-graphic-card-650-mhz-core-1-gb-ddr3-sdram-pci-express-x16-low-profile-single-slot-space-requi-900456/10452910
VisionTek Radeon HD 7750 Graphic Card - 2 GB GDDR5,$337.99,SAVE $67,https://www.bestbuy.ca/en-ca/product/visiontek-visiontek-radeon-hd-7750-graphic-card-2-gb-gddr5-sdram-pci-express-3-0-x16-single-slot-space-required-900614/10441761
Sapphire TOXIC AMD Radeon™ RX 6900 XT Extreme Edition,N/A,N/A,https://www.bestbuy.ca/en-ca/product/sapphire-toxic-amd-radeon-rx-6900-xt-extreme-edition/15804425
"ASRock Radeon RX 6700 XT Challenger D Gaming Graphic Card, 12GB GDDR6 VRAM, AMD RDNA2 (RX6700XT CLD 12G)",$729.99,SAVE $370,https://www.bestbuy.ca/en-ca/product/asrock-radeon-rx-6700-xt-challenger-d-gaming-graphic-card-12gb-gddr6-vram-amd-rdna2-rx6700xt-cld-12g/15849957
"VISIONTEK RADEON HD 7750 2GB GDDR5 6M (6 X MINI DP), 900614",$356.99,SAVE $36,https://www.bestbuy.ca/en-ca/product/visiontek-radeon-hd-7750-2gb-gddr5-6m-6-x-mini-dp-900614/12295158
Gigabyte Video Card GV-R675XTGAMING OC-12GD Radeon RX 6750 XT GAMING OC 12G GDDR6 Retail,$749.99,SAVE $350,https://www.bestbuy.ca/en-ca/product/gigabyte-video-card-gv-r675xtgaming-oc-12gd-radeon-rx-6750-xt-gaming-oc-12g-gddr6-retail/16377588
AMD Radeon Pro WX 3200 Graphic Card - 4 GB GDDR5,$249.47,SAVE $24,https://www.bestbuy.ca/en-ca/product/amd-radeon-pro-wx-3200-graphic-card-4-gb-gddr5/14548687
Refurbished (Good) XFX AMD Radeon™ RX 580P4L V2.0 Edition 4GB,$99.99,SAVE $100,https://www.bestbuy.ca/en-ca/product/refurbished-good-xfx-amd-radeon-rx-580p4l-v2-0-edition-4gb/18246153
MSI Video Card R6500XTM2X4C RX 6500 XT Mech 2X 4G OC 4GB GDDR6 64bits PCI Express4.0 Display Port/HDMI Retail,N/A,N/A,https://www.bestbuy.ca/en-ca/product/msi-video-card-r6500xtm2x4c-rx-6500-xt-mech-2x-4g-oc-4gb-gddr6-64bits-pci-express4-0-display-port-hdmi-retail/16242567
