Name,Sale Price,Discount,Product Link
ASUS TUF Gaming GeForce RTX 4080 SUPER OC 16GB GDDR6X Video Card,N/A,N/A,N/A
ASUS TUF Gaming GeForce RTX 4070 Ti Super OC 16GB GDDR6X Video Card,"$1,148.98",SAVE $1,N/A
PNY GeForce RTX 4080 Super 16GB OC TF ARGB GDDR6X Video Card,N/A,N/A,https://www.bestbuy.ca/en-ca/product/pny-geforce-rtx-nbsp-4080-super-16gb-oc-tf-argb-gddr6x-video-card/17697553
PNY GeForce RTX 4080 Super 16GB OC TF GDDR6X Video Card,"$1,299.99",SAVE $30,https://www.bestbuy.ca/en-ca/product/pny-geforce-rtx-4080-super-16gb-oc-tf-gddr6x-video-card/17697549
ZOTAC Gaming GeForce RTX 4080 SUPER Trinity OC White Edition 16GB GDDR6X Video Card,"$1,359.99",SAVE $60,https://www.bestbuy.ca/en-ca/product/zotac-gaming-geforce-rtx-4080-super-trinity-oc-white-edition-16gb-gddr6x-video-card/17701366
ASUS TUF Gaming GeForce RTX 4080 SUPER OC 16GB GDDR6X Video Card,N/A,N/A,https://www.bestbuy.ca/en-ca/product/asus-tuf-gaming-geforce-rtx-4080-super-oc-16gb-gddr6x-video-card/17664936
ASUS TUF Gaming GeForce RTX 4080 SUPER 16GB GDDR6X Video Card,N/A,N/A,https://www.bestbuy.ca/en-ca/product/asus-tuf-gaming-geforce-rtx-4080-super-16gb-gddr6x-video-card/17664934
ZOTAC Gaming NVIDIA GeForce RTX 4060 GPU 8GB GDDR6 Video Card,N/A,N/A,https://www.bestbuy.ca/en-ca/product/zotac-gaming-nvidia-geforce-rtx-4060-gpu-8gb-gddr6-video-card/17210592
ASUS Dual NVIDIA GeForce RTX 3060 V2 12GB GDDR6 Video Card,$378.98,SAVE $11,https://www.bestbuy.ca/en-ca/product/asus-dual-nvidia-geforce-rtx-3060-v2-12gb-gddr6-video-card/15848970
ASUS TUF Gaming GeForce RTX 4070 Ti Super OC 16GB GDDR6X Video Card,"$1,148.98",SAVE $1,https://www.bestbuy.ca/en-ca/product/asus-tuf-gaming-geforce-rtx-4070-ti-super-oc-16gb-gddr6x-video-card/17664927
PNY GeForce RTX 4070 Super 12GB OC DF GDDR6X Video Card,$778.98,SAVE $1,https://www.bestbuy.ca/en-ca/product/pny-geforce-rtx-4070-super-12gb-oc-df-gddr6x-video-card/17697550
NVIDIA GeForce RTX 4060 Ti 8GB GDDR6 Video Card,N/A,N/A,https://www.bestbuy.ca/en-ca/product/nvidia-geforce-rtx-4060-ti-8gb-gddr6-video-card/17114102
