Name,Sale Price,Discount,Product Link
"Seagate IronWolf Pro 16TB 3.5"" 7200RPM SATA NAS Internal Hard Drive (ST16000NTA01)",$384.99,SAVE $45,https://www.bestbuy.ca/en-ca/product/seagate-ironwolf-pro-16tb-3-5-7200rpm-sata-nas-internal-hard-drive-st16000nta01/17145974
"Seagate IronWolf 8TB 3.5"" 7200RPM SATA NAS Internal Hard Drive (ST8000VNA04)",$234.99,SAVE $10,https://www.bestbuy.ca/en-ca/product/seagate-ironwolf-8tb-3-5-7200rpm-sata-nas-internal-hard-drive-st8000vna04/14481358
"Seagate BarraCuda 2TB 3.5"" 7200RPM SATA 3.0 Internal Hard Drive (ST2000DMA08)",N/A,N/A,https://www.bestbuy.ca/en-ca/product/seagate-barracuda-2tb-3-5-7200rpm-sata-3-0-internal-hard-drive-st2000dma08/13504554
"Seagate BarraCuda 8TB 3.5"" 5400RPM SATA Desktop Internal Hard Drive (ST8000DMA04)",$149.99,SAVE $35,https://www.bestbuy.ca/en-ca/product/seagate-barracuda-8tb-3-5-5400rpm-sata-desktop-internal-hard-drive-st8000dma04/14481359
WD Red Plus 4TB 5640RPM SATA Internal NAS Hard Drive (WDBC9V0040HH1-WRSN),$139.99,SAVE $3,https://www.bestbuy.ca/en-ca/product/wd-red-plus-4tb-5640rpm-sata-internal-nas-hard-drive-wdbc9v0040hh1-wrsn/16596753
"Seagate BarraCuda 4TB 3.5"" 5900RMP SATA 3.0 Desktop Internal Hard Drive (ST4000DMA04)",N/A,N/A,https://www.bestbuy.ca/en-ca/product/seagate-barracuda-4tb-3-5-5900rmp-sata-3-0-desktop-internal-hard-drive-st4000dma04/11509502
"Seagate IronWolf Pro 12TB 3.5"" 7200RPM SATA NAS Internal Hard Drive (ST12000NTA01)",N/A,N/A,https://www.bestbuy.ca/en-ca/product/seagate-ironwolf-pro-12tb-3-5-7200rpm-sata-nas-internal-hard-drive-st12000nta01/17145973
"Seagate IronWolf 4TB 3.5"" 5400 RPM SATA NAS Internal Hard Drive (ST4000VNA06)",N/A,N/A,https://www.bestbuy.ca/en-ca/product/seagate-ironwolf-4tb-3-5-5400-rpm-sata-nas-internal-hard-drive-st4000vna06/17050915
"WD Red Pro 20TB 3.5"" 5200RPM SATA Internal NAS Hard Drive (WD201KFGX) - Red",N/A,N/A,https://www.bestbuy.ca/en-ca/product/wd-red-pro-20tb-3-5-5200rpm-sata-internal-nas-hard-drive-wd201kfgx-red/17717847
WD Red Plus 10TB 7200RPM SATA Internal NAS Hard Drive (WDBC9V0100HH1-WRSN),$279.99,SAVE $8,https://www.bestbuy.ca/en-ca/product/wd-red-plus-10tb-7200rpm-sata-internal-nas-hard-drive-wdbc9v0100hh1-wrsn/16596756
"Seagate IronWolf Pro 18TB 3.5"" 7200RPM SATA NAS Internal Hard Drive (ST18000NTA01)",N/A,N/A,https://www.bestbuy.ca/en-ca/product/seagate-ironwolf-pro-18tb-3-5-7200rpm-sata-nas-internal-hard-drive-st18000nta01/17145976
"Seagate IronWolf Pro 20TB 3.5"" 7200RPM SATA NAS Internal Hard Drive (ST20000NTA01)",N/A,N/A,https://www.bestbuy.ca/en-ca/product/seagate-ironwolf-pro-20tb-3-5-7200rpm-sata-nas-internal-hard-drive-st20000nta01/17145975
"WD Red Plus 12TB 3.5"" 7200RPM SATA Internal NAS Hard Drive (WD120EFBX)",$334.99,SAVE $9,https://www.bestbuy.ca/en-ca/product/wd-red-plus-12tb-3-5-7200rpm-sata-internal-nas-hard-drive-wd120efbx/17717846
Seagate Barracuda Internal Hard Drive 8TB SATA 6Gb/s 256MB Cache 3.5-Inch (ST8000DM004),$179.99,SAVE $20,https://www.bestbuy.ca/en-ca/product/seagate-barracuda-internal-hard-drive-8tb-sata-6gb-s-256mb-cache-3-5-inch-st8000dm004/12303686
"Seagate IronWolf Pro 20TB 3.5"" 7200RPM SATA 6Gb/s Desktop Internal Hard Drive - (ST20000NT001)",$509.99,SAVE $55,https://www.bestbuy.ca/en-ca/product/seagate-ironwolf-pro-20tb-3-5-7200rpm-sata-6gb-s-desktop-internal-hard-drive-st20000nt001/16616595
WD Red Plus 8TB 5640RPM SATA Internal NAS Hard Drive (WD80EFPX),N/A,N/A,https://www.bestbuy.ca/en-ca/product/wd-red-plus-8tb-5640rpm-sata-internal-nas-hard-drive-wd80efpx/17935390
"WD 4TB 3.5"" Desktop Internal Hard Drive (WDBH2D0040HNC-NRSN)",$104.99,SAVE $15,https://www.bestbuy.ca/en-ca/product/western-digital-wd-4tb-3-5-desktop-internal-hard-drive-wdbh2d0040hnc-nrsn-wdbh2d0040hnc-nrsn/10291895
WD Red Plus 6TB 5400RPM SATA Internal NAS Hard Drive (WD60EFPX),N/A,N/A,https://www.bestbuy.ca/en-ca/product/wd-red-plus-6tb-5400rpm-sata-internal-nas-hard-drive-wd60efpx/17935389
Kingston NV2 1TB M.2 2280 NVMe Internal SSD | PCIe 4.0 Gen 4x4 | Up to 3500 MB/s | SNV2S/1000G,$78.95,SAVE $53,https://www.bestbuy.ca/en-ca/product/kingston-nv2-1tb-m-2-2280-nvme-internal-ssd-pcie-4-0-gen-4x4-up-to-3500-mb-s-snv2s-1000g/17985560
Seagate BarraCuda 2TB Internal Hard Drive HDD – 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache 3.5-Inch – (ST2000DM008),$91.99,SAVE $48,https://www.bestbuy.ca/en-ca/product/seagate-barracuda-2tb-internal-hard-drive-hdd-3-5-inch-sata-6gb-s-7200-rpm-256mb-cache-3-5-inch-st2000dm008/12989219
Refurbished (Good) Samsung 990PRO 1TB NVMe PCI-e Internal Solid State Drive with Heatsink (MZ-V9P1T0CW) - Black/Red,$94.99,SAVE $120,https://www.bestbuy.ca/en-ca/product/refurbished-good-samsung-990pro-1tb-nvme-pci-e-internal-solid-state-drive-with-heatsink-mz-v9p1t0cw-black-red/17555645
